region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
UCL101001,32996,13417,69767,750393,769030,332589,270426,766939,272024,3161401
UCL102001,161,111,434,7037,8618,3273,2265,5174,2244,28611
UCL102002,3859,2144,8780,49372,61561,31656,26847,49210,21207,239853
UCL102003,991,553,2225,8817,11502,6016,4989,10552,4556,46432
UCL102004,3856,1396,7819,56426,67507,32476,26089,52291,18427,253216
UCL103001,2475,874,5055,42271,50099,25227,21492,44850,15048,198987
UCL111001,574,169,1053,8375,9872,4372,3580,7629,2976,36804
UCL111002,520,218,1085,10882,13722,7063,6387,10500,3878,52432
UCL112001,310,83,568,5389,6600,3122,2532,4667,2417,24727
UCL112002,320,133,652,4692,6842,3388,2636,3712,2145,23415
UCL112003,317,66,489,2757,3568,1808,1928,3914,1994,15969
UCL112004,624,361,1352,7391,9959,4996,4042,7427,3154,36969
UCL112005,339,99,666,5259,6815,3344,2581,5194,1831,25024
UCL112006,244,122,533,3325,4389,2225,1802,3771,1900,17412
UCL112007,403,95,733,4656,6214,3043,2478,4315,1504,22210
UCL112008,4,7,18,327,419,231,175,272,150,1574
UCL112009,375,159,710,4123,5512,2909,2728,4866,2158,22296
UCL112010,384,131,749,5677,7073,3363,2784,5899,2396,27192
UCL112011,792,283,1575,6571,9262,4857,3921,6928,2748,34287
UCL112012,421,184,871,5661,7222,3580,3247,5952,2827,28489
UCL112013,487,203,1007,8206,10270,4775,3807,7238,2635,36931
UCL113001,202,82,438,3632,4251,1900,1391,3387,1516,16077
UCL113002,433,196,876,2549,3435,1846,1405,3032,1371,13638
UCL113003,261,75,461,1547,2221,1247,1149,2098,1114,9376
UCL113004,281,154,702,3180,4305,2459,2049,2938,1237,16168
UCL113005,222,147,489,2228,3398,1851,1769,3917,1941,15104
UCL113006,61,22,123,621,920,447,376,818,327,3509
UCL113007,381,342,1028,2505,3864,2362,1937,3674,1935,16277
UCL113008,323,83,555,2214,3155,1760,1657,3064,1422,13272
UCL113009,192,101,407,2621,3041,1612,1376,3382,1716,13748
UCL113010,200,43,329,1197,1701,983,998,2015,1220,8114
UCL113011,140,66,372,2177,3115,1748,1178,1776,638,10632
UCL113012,129,40,233,1783,2382,1201,1385,2526,892,10169
UCL113013,142,61,294,1589,2128,1166,1134,2213,887,9117
UCL113014,328,76,635,2806,3626,1991,1644,2903,1005,13975
UCL113015,42,29,111,1760,2046,1022,1033,1750,809,8420
UCL113016,156,46,296,1696,2477,1345,1117,1754,800,9189
UCL113017,148,51,290,1419,1859,993,939,1728,832,7770
UCL113018,118,50,235,1991,2552,1310,1231,2355,857,10296
UCL113019,134,19,220,2341,2847,1304,1321,2222,787,10822
UCL113020,425,121,751,2330,3342,1993,1839,3519,1380,14403
UCL113021,133,87,359,1677,2553,1604,1330,2096,879,10139
UCL114001,150,138,431,907,1462,965,919,1390,670,6313
UCL114002,170,86,353,1197,1719,957,1024,1875,818,7590
UCL114003,111,33,221,983,1361,693,556,1011,521,5125
UCL114004,101,26,182,732,1115,615,566,1102,437,4567
UCL114005,61,81,207,779,1058,591,545,1027,465,4465
UCL114006,140,40,270,1062,1412,865,805,1585,810,6539
UCL114007,100,47,203,872,1274,734,585,1198,560,5223
UCL114008,64,31,146,1016,1287,681,651,1255,471,5361
UCL114009,106,19,175,679,995,571,552,1003,375,4175
UCL114010,85,86,240,1175,1457,755,813,1370,696,6266
UCL114011,21,9,47,980,1235,615,492,719,293,4334
UCL114012,77,138,300,1222,1702,954,951,1685,842,7356
UCL114013,83,34,160,989,1328,647,567,1070,583,5184
UCL114014,23,16,59,1076,1370,681,476,640,262,4505
UCL114015,11,7,31,1336,1796,925,824,1011,342,6234
UCL114016,102,76,274,1085,1596,939,722,1099,502,5943
UCL114017,75,24,131,1059,1326,641,536,1504,968,6034
UCL114018,43,15,113,1139,1607,867,753,1065,386,5817
UCL114019,151,63,276,1454,1912,963,882,1695,806,7712
UCL114020,222,75,405,1270,1633,921,842,1506,610,6782
UCL114021,150,56,323,818,1258,719,665,1270,533,5263
UCL114022,84,24,143,854,1110,565,485,1099,489,4602
UCL114023,83,15,118,823,1204,645,587,799,260,4318
UCL114024,88,34,193,725,1090,665,498,865,453,4296
UCL114025,84,20,152,817,1001,532,470,884,328,4032
UCL114026,107,51,217,1193,1789,1008,1049,1668,732,7439
UCL114027,40,15,85,799,1113,573,597,918,298,4298
UCL114028,107,34,190,858,1140,658,567,1169,445,4837
UCL114029,64,99,223,902,1183,707,672,969,504,4937
UCL114030,101,49,215,879,1261,798,698,1075,465,5176
UCL114031,13,9,41,279,398,231,204,364,144,1620
UCL114032,84,53,167,838,1206,616,491,829,419,4399
UCL114033,159,54,272,997,1212,683,649,1349,541,5431
UCL115001,3,3,18,266,400,177,185,300,97,1425
UCL115002,169,29,313,707,1100,700,534,841,238,4120
UCL115003,6,3,21,460,638,307,250,411,156,2222
UCL115004,5,0,13,256,286,144,127,213,68,1094
UCL115005,8,6,34,210,305,221,169,236,135,1276
UCL115006,16,10,30,140,215,105,111,242,140,953
UCL115007,43,5,54,235,361,170,126,221,56,1169
UCL115008,8,6,30,457,604,340,331,434,183,2349
UCL115009,39,16,75,163,202,122,149,233,111,980
UCL115010,5,0,17,247,307,177,152,230,102,1215
UCL115011,25,8,48,120,199,121,143,267,130,980
UCL115012,28,6,43,167,279,167,171,249,92,1125
UCL115013,13,4,29,130,218,105,116,202,70,841
UCL115014,59,48,146,573,791,421,408,760,345,3298
UCL115015,70,12,117,472,702,353,318,365,115,2325
UCL115016,13,6,48,175,310,212,183,259,99,1238
UCL115017,42,10,81,253,405,249,189,245,90,1431
UCL115018,37,8,67,115,192,119,154,278,92,950
UCL115019,20,20,81,651,989,540,420,452,552,3604
UCL115020,30,7,60,417,578,264,288,476,177,2200
UCL115021,4,8,12,211,249,155,100,116,100,931
UCL115022,21,14,55,184,263,123,126,193,88,977
UCL115023,11,5,37,384,590,360,275,369,133,2111
UCL115024,22,6,44,151,255,110,127,264,79,986
UCL115025,7,4,14,217,351,147,118,375,328,1536
UCL115026,4,3,10,216,323,175,104,144,45,1007
UCL115027,6,10,26,128,167,102,144,217,90,848
UCL115028,29,6,40,176,250,130,118,162,88,924
UCL115029,8,4,23,420,497,277,273,403,147,2017
UCL115030,39,15,83,303,432,279,184,252,136,1586
UCL115031,26,15,63,234,343,154,136,206,163,1236
UCL115032,22,25,58,140,192,132,108,246,123,941
UCL115033,61,6,88,324,534,350,322,383,125,2038
UCL115034,9,9,37,290,437,267,185,234,127,1540
UCL115035,11,7,30,477,708,308,206,231,106,2036
UCL115036,5,0,5,255,337,167,134,181,84,1158
UCL115037,69,34,134,1171,1127,481,317,791,482,4369
UCL115038,19,10,49,387,590,366,364,426,253,2386
UCL115039,5,6,11,204,268,163,111,125,51,922
UCL115040,20,6,40,178,282,160,179,294,79,1172
UCL115041,36,7,52,519,723,356,360,664,344,2966
UCL115042,6,0,6,209,305,168,137,176,49,1044
UCL115043,33,14,66,333,469,259,303,558,227,2149
UCL115044,37,10,66,231,325,161,160,273,103,1253
UCL115045,65,27,123,332,468,253,265,516,261,2095
UCL115046,27,10,58,321,422,215,169,558,231,1916
UCL115047,29,6,44,142,198,129,126,232,100,927
UCL115048,0,0,3,171,246,116,106,184,77,900
UCL115049,35,15,73,303,428,231,201,362,167,1692
UCL115050,62,20,126,469,704,385,367,649,271,2845
UCL115051,17,7,36,149,211,119,114,176,112,881
UCL115052,95,56,185,205,387,264,204,394,215,1669
UCL115053,28,6,34,199,294,128,113,277,87,1098
UCL115054,19,9,52,151,218,141,134,149,73,866
UCL115055,5,0,5,198,215,118,117,145,39,832
UCL115056,50,10,89,274,436,235,247,413,151,1756
UCL115057,57,13,82,388,614,374,324,609,195,2504
UCL115058,21,10,55,596,585,175,143,419,115,2033
UCL115059,29,26,87,407,565,300,277,513,210,2272
UCL115060,26,41,110,212,306,185,147,255,224,1329
UCL115061,29,55,104,247,383,190,187,357,235,1599
UCL115062,3,0,9,472,391,174,151,445,101,1734
UCL115063,48,5,56,116,186,101,109,250,72,834
UCL115064,3,3,12,237,258,133,103,125,75,931
UCL115065,3,5,18,208,255,99,98,170,36,866
UCL115066,124,31,199,709,891,440,379,631,157,3207
UCL115067,42,27,99,315,494,244,302,538,239,2132
UCL115068,6,6,15,444,558,273,238,361,107,1981
UCL115069,65,19,108,318,462,293,253,494,147,1967
UCL115070,0,8,31,143,243,168,135,238,131,1058
UCL115071,39,14,88,258,385,232,243,373,159,1650
UCL115072,12,4,23,364,434,221,260,423,146,1848
UCL115073,35,10,51,238,343,194,204,329,149,1457
UCL115074,0,0,4,159,269,186,168,198,59,1039
UCL115075,33,16,63,258,349,207,216,356,166,1552
UCL115076,38,14,71,273,321,186,187,409,191,1567
